f	pp	pn	np	nn
 (-4.850000000000000000e+01+0.000000000000000000e+00j)	 (4.367251348255008652e-04+4.236244341345495393e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.367246883773515825e-04+4.236242199079540485e-03j)
 (-4.700000000000000000e+01+0.000000000000000000e+00j)	 (4.647292805544714616e-04+4.368465332358378861e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.647287906525798384e-04+4.368463055865700467e-03j)
 (-4.600000000000000000e+01+0.000000000000000000e+00j)	 (4.849161439608746377e-04+4.461238323360134858e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.849156219209596521e-04+4.461235950344066489e-03j)
 (-4.550000000000000000e+01+0.000000000000000000e+00j)	 (4.955043971841606876e-04+4.509099663894455823e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (4.955038580226431722e-04+4.509097240331083264e-03j)
 (-4.400000000000000000e+01+0.000000000000000000e+00j)	 (5.294267991745001730e-04+4.658965028463147792e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.294262039571664188e-04+4.658962443314285454e-03j)
 (-4.250000000000000000e+01+0.000000000000000000e+00j)	 (5.669385981300907162e-04+4.818986816697240147e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.669379388470576018e-04+4.818984053516288737e-03j)
 (-4.200000000000000000e+01+0.000000000000000000e+00j)	 (5.803277941672658601e-04+4.874762046919001168e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (5.803271115036182440e-04+4.874759220355146666e-03j)
 (-4.100000000000000000e+01+0.000000000000000000e+00j)	 (6.085619298113957142e-04+4.990216083254143606e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.085611969811781981e-04+4.990213123319731450e-03j)
 (-3.950000000000000000e+01+0.000000000000000000e+00j)	 (6.549168816493461560e-04+5.173851137759238189e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.549160639759232620e-04+5.173847959690544562e-03j)
 (-3.850000000000000000e+01+0.000000000000000000e+00j)	 (6.888088930470153077e-04+5.303835917413049841e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (6.888080114511094384e-04+5.303832580512009634e-03j)
 (-3.800000000000000000e+01+0.000000000000000000e+00j)	 (7.067442553558022939e-04+5.371263613216747598e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.067433393063220996e-04+5.371260192488369958e-03j)
 (-3.650000000000000000e+01+0.000000000000000000e+00j)	 (7.649347031931823856e-04+5.584030089149096335e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (7.649336724444876553e-04+5.584026397516544601e-03j)
 (-3.500000000000000000e+01+0.000000000000000000e+00j)	 (8.305663449835300541e-04+5.813970634865067537e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.305651797129403983e-04+5.813966639645856520e-03j)
 (-3.450000000000000000e+01+0.000000000000000000e+00j)	 (8.543164212658994807e-04+5.894789343266976581e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.543152060143702990e-04+5.894785238698973390e-03j)
 (-3.350000000000000000e+01+0.000000000000000000e+00j)	 (9.049537828269768602e-04+6.063196006473832618e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (9.049524587674329969e-04+6.063191669679367408e-03j)
